Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Train < Test,Alpha,Trigger_Up,Trigger_Down
GSK,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.15518827352770426,0.12257207195180601,0,0.6873684210526316,0.01,0.01
TXN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2274081783841618,-0.0451472912531372,0,0.5831578947368421,0.11888888888888888,-0.2122222222222222
GGB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.5712127878653535,0.20802882188218694,0,0.6873684210526316,0.01,0.01
KGC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.5299479635055077,0.30612848242925783,0,0.791578947368421,0.01,0.01
PLUG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.33554729185620924,0.1479654874259992,0,0.4789473684210527,0.44555555555555554,-0.3233333333333333
INTC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3794333368474728,-0.19698751839048728,0,0.01,0.5544444444444444,-0.2122222222222222
ABEV,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.29516037409480583,0.0019272747511474703,0,0.6873684210526316,0.01,-0.10111111111111111
FCX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.37286067555731717,0.0628349642715075,0,0.7394736842105263,0.01,0.01
EQNR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.20458368991116183,0.4089585838261385,1,0.6873684210526316,0.01,0.01
NKE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0380078184271881,-0.0156263490819416,0,0.5831578947368421,0.44555555555555554,-0.10111111111111111
AAPL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.4993474068333576,0.023024071964613726,0,0.7394736842105263,0.01,0.01
AMAT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.17447728797978002,-0.11463629720730481,0,0.16631578947368422,0.44555555555555554,-0.99
IAG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.11486148444428211,-0.07231930756354663,0,0.6352631578947369,0.01,-0.4344444444444444
HBAN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.035139050488867174,-0.06738025474573875,0,0.6873684210526316,0.01,0.01
F,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2325832177815858,-0.030967396511986323,0,0.32263157894736844,0.33666666666666667,0.01
BAC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.08207724247123031,0.1101418456384448,1,0.21842105263157896,0.01,-0.3233333333333333
TU,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2256434014121691,0.1062422341541546,0,0.21842105263157896,0.11888888888888888,-0.7677777777777777
MRVL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.48502448541133664,-0.5953099632037533,0,0.7394736842105263,0.01,0.01
QCOM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.44863417004285144,-0.018926512216833273,0,0.5831578947368421,0.01,0.01
EXC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.18833652517441768,-0.07461731440692008,0,0.11421052631578947,0.6633333333333333,-0.3233333333333333
PBR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.4617748639981431,0.3007151267524385,0,0.6873684210526316,0.01,-0.10111111111111111
TSM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2097964830986075,-0.10774220347406031,0,0.7394736842105263,0.01,0.01
CTRA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.27905915497191575,0.4685264769712078,1,0.6873684210526316,0.01,0.01
VTRS,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.22066722687901025,-0.05922040816699552,0,0.5831578947368421,0.01,0.01
MU,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.5295418241512395,0.0606582715085673,0,0.4789473684210527,0.01,0.01
C,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.15298271028866012,0.010202857635837403,0,0.01,0.01,0.01
DVN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1466564270394785,0.12124499359258405,0,0.5831578947368421,0.01,0.01
WMT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.13831942969793337,0.06619293779402849,0,0.6352631578947369,0.01,0.01
APH,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0427435050038934,0.20606432333854902,1,0.21842105263157896,0.01,-0.99
MS,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.15926587435658163,0.0765862959756473,0,0.6873684210526316,0.01,0.01
PPL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.22801423804041338,-0.0712770501128729,0,0.01,0.7722222222222221,-0.5455555555555556
SONY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.36443651691249623,-0.07700236935545018,0,0.6352631578947369,0.01,0.01
WFC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.016443605602532798,0.016743483067790898,1,0.32263157894736844,0.99,-0.5455555555555556
PFE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1290813499228056,0.03619510137299249,0,0.06210526315789474,0.6633333333333333,-0.99
PCG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.038717835876569594,-0.0342021927258718,0,0.21842105263157896,0.8811111111111111,-0.7677777777777777
RIG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3347384003931603,-0.10763311472214736,0,0.791578947368421,0.01,0.01
CCL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1479985323015288,0.1645494115068275,1,0.11421052631578947,0.11888888888888888,-0.10111111111111111
B,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.047593989839999094,-0.014570064872669895,0,0.4268421052631579,0.5544444444444444,-0.6566666666666666
CSCO,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1413728004361119,-0.15643815660965693,0,0.01,0.33666666666666667,-0.10111111111111111
HAL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.528069457039066,0.12473490120682992,0,0.32263157894736844,0.01,-0.10111111111111111
LOW,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.032411618715310404,0.043384336904415205,1,0.16631578947368422,0.8811111111111111,-0.4344444444444444
CSX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.15739632328559175,0.15374418125467681,0,0.6873684210526316,0.01,0.01
WDC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.4979573419804227,-0.30077437579534505,0,0.6352631578947369,0.01,0.01
NOK,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.11862010028286571,0.1309663506329341,1,0.6873684210526316,0.01,0.01
HD,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.072031019607102,0.07739767204144084,1,0.6352631578947369,0.11888888888888888,0.01
MNST,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.7490366077432818,0.46945792047285867,0,0.6873684210526316,0.01,0.01
SBUX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1040085253009189,-0.0669990070419294,0,0.01,0.33666666666666667,-0.8788888888888888
RF,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0439870335150569,-0.0479869707413328,0,0.11421052631578947,0.44555555555555554,-0.8788888888888888
IPG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.27288945753410015,-0.0485977930680426,0,0.2705263157894737,0.01,0.01
VLY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.019416132128220298,-0.016701502578968595,0,0.32263157894736844,0.7722222222222221,-0.6566666666666666
UNH,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.12211345029793552,-0.1501751168829264,0,0.6873684210526316,0.01,0.01
NGD,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.5531662607347045,0.1645100336896968,0,0.6873684210526316,0.01,0.01
HL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.27560567008873643,0.1710464615571103,0,0.16631578947368422,0.01,-0.99
SLB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.34484164449287635,0.143506833386529,0,0.7394736842105263,0.01,0.01
CMCSA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1924937492532696,0.038472268143789415,0,0.5310526315789474,0.01,0.01
EXAS,2005-08-10,2006-02-08,2006-02-09,2006-08-09,1.0726502100473658,-0.17240124602314835,0,0.01,0.7722222222222221,-0.4344444444444444
BAX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.07103919522100381,-0.12343664164539253,0,0.6873684210526316,0.01,0.01
NEE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2020954093829751,0.04298451080687603,0,0.5310526315789474,0.01,0.01
BKR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3990063413368314,0.10483926840519327,0,0.6352631578947369,0.01,0.01
AMD,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.7363110075983758,-0.6358081049132841,0,0.6873684210526316,0.01,0.01
LEN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.23430505102702218,-0.0684998180051864,0,0.01,0.5544444444444444,-0.5455555555555556
KO,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.13088458312139403,-0.04934752265734241,0,0.4789473684210527,0.01,0.01
CPRT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.025453973025375103,0.008543303782333702,0,0.4268421052631579,0.99,-0.3233333333333333
BP,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.10151459476976192,0.12631598625006768,1,0.6873684210526316,0.01,0.01
XOM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1449715123691145,-0.03213890477051119,0,0.11421052631578947,0.7722222222222221,-0.7677777777777777
JHX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1515280271533985,-0.03262243374124149,0,0.4789473684210527,0.01,0.01
ABT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.07622716036326702,-0.1355488394248488,0,0.5831578947368421,0.01,0.01
ITUB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.4092205376434016,0.033688762536611794,0,0.791578947368421,0.01,0.01
^VIX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0,-0.1930991678138563,0,0.4789473684210527,0.99,-0.7677777777777777
APA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.27553237127416047,0.15169294292237928,0,0.6873684210526316,0.01,0.01
SHEL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1439093791018666,-0.04142116788996207,0,0.5310526315789474,0.22777777777777777,0.01
CNQ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.29150825432891336,0.24146081669620487,0,0.01,0.01,-0.3233333333333333
TEVA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2260377992552785,-0.10076769162944155,0,0.7394736842105263,0.01,0.01
BCS,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0758057127533442,0.0051272776264594064,0,0.06210526315789474,0.8811111111111111,-0.99
LYG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.11523769035127962,-0.031004454441752413,0,0.06210526315789474,0.11888888888888888,-0.8788888888888888
TSCO,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.32047572735303526,0.22572073625889671,0,0.01,0.44555555555555554,-0.8788888888888888
VZ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.23892172296295705,-0.020993450179974588,0,0.4268421052631579,0.01,0.01
BMY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.15081170490222937,-0.12846765446427533,0,0.37473684210526315,0.5544444444444444,-0.10111111111111111
NEM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.36732313320190324,-0.020270277052376478,0,0.7394736842105263,0.01,0.01
USB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.07874119074351671,-0.0607753773410349,0,0.11421052631578947,0.5544444444444444,-0.4344444444444444
CLF,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3200092708013789,-0.25402791028433824,0,0.7394736842105263,0.01,0.01
BBD,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.5943512038373561,-0.0009701417008986177,0,0.6873684210526316,0.01,0.01
DIS,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.14547472130806052,-0.06802424696285918,0,0.01,0.8811111111111111,-0.7677777777777777
LUV,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0,-0.0003745096832355986,0,0.37473684210526315,0.99,-0.6566666666666666
WIT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3803960772050152,-0.08336696614048314,0,0.7394736842105263,0.01,0.01
BSX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2439608748069896,0.2634489381344135,1,0.6352631578947369,0.01,0.01
BB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.31915845473243204,0.2726048038691261,0,0.01,0.01,0.01
LNW,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2605792470484503,0.32182133165838217,1,0.01,0.01,-0.6566666666666666
CVX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.035160718693989616,-0.06740671567304762,0,0.4268421052631579,0.99,0.01
BBWI,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.016579738244629397,-0.10834142772870824,0,0.6873684210526316,0.01,0.01
FAST,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2679112872007483,-0.11077297059208939,0,0.6352631578947369,0.01,0.01
CCJ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.42222679743038866,0.12955259345876194,0,0.791578947368421,0.01,0.01
GOOG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2904605809195742,0.07795253575512257,0,0.6352631578947369,0.01,0.01
ES,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.09226926993427001,-0.02078464464022399,0,0.06210526315789474,0.33666666666666667,-0.10111111111111111
KR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0247268925142181,0.037822920102434,1,0.37473684210526315,0.5544444444444444,-0.99
HPQ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1206945888077243,-0.14583187045493556,0,0.4789473684210527,0.01,-0.2122222222222222
IRM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3616027844726427,0.13129705947175238,0,0.16631578947368422,0.01,0.01
ON,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3186170397663102,-0.0933164217778967,0,0.791578947368421,0.01,0.01
AZN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.08673768808811509,0.12092463285032948,1,0.11421052631578947,0.01,-0.8788888888888888
TGT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.03900099166271111,-0.05437185286116201,0,0.11421052631578947,0.44555555555555554,-0.99
HST,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.13104651097157505,0.0942293402667328,0,0.7394736842105263,0.01,0.01
T,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.13608291791889207,0.14882983577360126,1,0.6873684210526316,0.01,0.01
GOOGL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.29046075178975006,0.07795238463961005,0,0.6352631578947369,0.01,0.01
LUMN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.11297900193946382,-0.021162381175529103,0,0.5831578947368421,0.01,0.01
VALE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.32927613678072326,0.025196176919931406,0,0.7394736842105263,0.01,0.01
TJX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.004723194966926498,0.011098042202156603,1,0.32263157894736844,0.7722222222222221,-0.99
CRM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.5036135229554893,-0.40380703621655273,0,0.791578947368421,0.01,0.01
NFLX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3632976820402803,0.04275612895533261,0,0.5831578947368421,0.22777777777777777,-0.10111111111111111
LRCX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.5475369950114255,-0.1162405265378054,0,0.6873684210526316,0.01,0.01
CDE,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.6424483982362504,-0.6151731593154316,0,0.21842105263157896,0.11888888888888888,0.01
ORCL,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.17450861127848635,0.11581045209963367,0,0.6873684210526316,0.01,0.01
AMZN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.38394437263559444,0.22460324309359414,0,0.01,0.5544444444444444,-0.6566666666666666
ASX,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.20044146010257788,-0.2155680166452728,0,0.06210526315789474,0.6633333333333333,-0.4344444444444444
PTEN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.9275295071727547,0.03196846498500821,0,0.32263157894736844,0.01,0.01
FHN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.11344888441054321,0.14956260809147817,1,0.6873684210526316,0.01,0.01
KMB,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.07993660748367577,0.11498280010897101,1,0.6873684210526316,0.01,0.01
OXY,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.3456367244829857,-0.09071977402686038,0,0.4268421052631579,0.01,0.01
ERIC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.2861882570785955,0.15108665143036215,0,0.5831578947368421,0.01,0.01
AES,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.20175760203410167,0.1085066199837166,0,0.6873684210526316,0.01,0.01
MSTR,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.2521057570932918,-0.29886264403648055,0,0.32263157894736844,0.44555555555555554,0.01
MRK,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.2197254432899336,0.08466723033502871,0,0.6873684210526316,0.01,0.01
NVDA,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.6227233284412925,-0.19783720060726834,0,0.01,0.11888888888888888,-0.5455555555555556
CAG,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.1508546355290336,0.043969166775089386,0,0.01,0.01,0.01
MCHP,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.1522523274599583,-0.012356273973929433,0,0.6873684210526316,0.01,0.01
FE,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.16580459060225838,0.1368854258525105,0,0.6873684210526316,0.01,0.01
BA,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.15749120274746356,0.1492789174411711,0,0.01,0.01,-0.8788888888888888
NVO,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.22275889732972481,0.27044196680419447,1,0.6873684210526316,0.01,0.01
EQT,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.1502668410667927,0.06948685559308843,0,0.01,0.01,-0.10111111111111111
INFY,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.16489750297018824,0.10035313270590708,0,0.06210526315789474,0.01,-0.3233333333333333
UMC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.11395574306846953,-0.11329315774798313,0,0.16631578947368422,0.01,-0.7677777777777777
JNJ,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.092353717322606,0.0459985233454758,0,0.5831578947368421,0.01,0.01
PBR-A,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.38602576490174995,-0.15476011783252236,0,0.6352631578947369,0.01,0.01
KEY,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.04793314484475048,-0.03458030769670469,0,0.2705263157894737,0.11888888888888888,-0.6566666666666666
CNC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.34828702581380905,-0.8539613958915827,0,0.4789473684210527,0.01,0.01
MDLZ,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.21769476557347903,-0.1350387276072777,0,0.37473684210526315,0.01,-0.10111111111111111
MDT,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.31741846632597975,-0.2752875642362524,0,0.4268421052631579,0.01,0.01
GAP,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.0778973050021753,-0.17474904372932798,0,0.7394736842105263,0.01,0.01
MSFT,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.019806942975135505,0.0294079864081115,1,0.2705263157894737,0.7722222222222221,-0.5455555555555556
GSK,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.16852826793339912,0.1711447049786036,1,0.06210526315789474,0.01,-0.5455555555555556
TXN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.12001495100093033,0.014609628092483779,0,0.21842105263157896,0.7722222222222221,0.01
GGB,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.9523323589730563,0.0500086042590627,0,0.01,0.22777777777777777,0.01
KGC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.4201409621668961,-0.00841252040193334,0,0.11421052631578947,0.11888888888888888,-0.6566666666666666
PLUG,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.41090587830336894,0.014265034472457798,0,0.2705263157894737,0.99,-0.2122222222222222
INTC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.16053367215755465,-0.1934286424735955,0,0.7394736842105263,0.01,0.01
ABEV,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.4218671827022106,-0.0929997825175747,0,0.21842105263157896,0.01,0.01
FCX,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.4540248683367118,-0.0787414509381557,0,0.2705263157894737,0.01,0.01
EQNR,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.41393365890292244,0.09445329656783805,0,0.21842105263157896,0.01,-0.7677777777777777
NKE,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.11544967933390719,-0.13922151953520984,0,0.4268421052631579,0.01,0.01
AAPL,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.11664679493064825,-0.22232547205650563,0,0.5831578947368421,0.33666666666666667,-0.10111111111111111
AMAT,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.25822575265650827,-0.1862807536766311,0,0.7394736842105263,0.01,0.01
IAG,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.1777437251079607,-0.1457506110535698,0,0.791578947368421,0.01,0.01
HBAN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.10941487441185041,-0.044531005602290605,0,0.6352631578947369,0.01,0.01
F,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.28169449494890986,0.3843178941644254,1,0.06210526315789474,0.22777777777777777,-0.4344444444444444
BAC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.22878554914074997,0.05185112195883989,0,0.5831578947368421,0.01,0.01
TU,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.16099654674413383,-0.32808123896191754,0,0.11421052631578947,0.22777777777777777,-0.6566666666666666
MRVL,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.665978875801248,-0.04301714935275375,0,0.5310526315789474,0.11888888888888888,0.01
QCOM,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.2899116969419763,-0.04843894338579205,0,0.7394736842105263,0.01,0.01
EXC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.07082495968818331,0.11483057382031102,1,0.6873684210526316,0.01,0.01
PBR,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.48521199997353476,-0.0013366322994726055,0,0.01,0.11888888888888888,-0.6566666666666666
TSM,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.31798251628252067,-0.18069004563790628,0,0.5831578947368421,0.01,0.01
CTRA,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.46861529704304733,0.2186639551399015,0,0.7394736842105263,0.01,0.01
